#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2016 02 09 15 00 270  7.0 10.0   6.1    12    MM  MM 1003.2    MM   9.0    MM   MM +1.5    MM
2016 02 09 14 00 280  8.0 11.0   7.0    13    MM  MM 1003.1    MM   8.8    MM   MM +2.1    MM
2016 02 09 13 00 260  8.0 12.0   6.6    16    MM  MM 1002.6    MM   8.8    MM   MM +2.8    MM
2016 02 09 12 00 290  7.0 10.0   7.0    14    MM  MM 1001.7    MM   8.8    MM   MM +3.2    MM
2016 02 09 11 00 310  8.0 11.0   7.1    12    MM  MM 1001.0    MM   9.1    MM   MM +3.7    MM
2016 02 09 10 00 330  9.0 14.0   8.4    14    MM  MM  999.8    MM   9.5    MM   MM +4.7    MM
2016 02 09 09 00 330 10.0 15.0   7.8    12    MM  MM  998.5    MM   9.9    MM   MM +4.9    MM
2016 02 09 08 00 350 11.0 16.0   8.4    13    MM  MM  997.3    MM  11.3    MM   MM +5.3    MM
2016 02 09 07 00   0 12.0 15.0   8.8    14    MM  MM  995.1    MM  11.3    MM   MM +4.9    MM
2016 02 09 06 00  10 12.0 15.0   9.1    14    MM  MM  993.6    MM  11.5    MM   MM +3.9    MM
2016 02 09 05 00  20 14.0 18.0   8.4    13    MM  MM  992.0    MM  11.4    MM   MM +3.5    MM
2016 02 09 04 00  MM  0.0   MM  10.7    14    MM  MM  990.2    MM  11.1    MM   MM +2.4    MM
2016 02 09 03 00  30 16.0 20.0   9.3    14    MM  MM  989.7    MM  10.9    MM   MM +1.6    MM
2016 02 09 02 00  40 19.0 24.0  10.1    13    MM  MM  988.5    MM  10.6    MM   MM +0.0    MM
2016 02 09 01 00  40 21.0 26.0   9.6    12    MM  MM  987.8    MM  10.1    MM   MM -1.9    MM
2016 02 09 00 00  40 20.0 28.0  10.0    13    MM  MM  988.1    MM   9.6    MM   MM -2.7    MM
2016 02 08 23 00  40 22.0 28.0   8.8    13    MM  MM  988.5    MM   9.1    MM   MM -4.1    MM
2016 02 08 22 00  40 21.0 27.0   8.9    11    MM  MM  989.7    MM   8.5    MM   MM -4.5    MM
2016 02 08 21 00  40 21.0   MM   7.8    12    MM  MM  990.8    MM   8.4    MM   MM -4.4    MM
2016 02 08 20 00  50 20.0   MM    MM    MM    MM  MM  992.6    MM    MM    MM   MM   MM    MM
2016 02 08 19 00  60 19.0 25.0   7.9    11    MM  MM  994.2    MM   7.5    MM   MM -4.8    MM
2016 02 08 18 00  60 20.0 26.0   6.9    10    MM  MM  995.2    MM   7.1    MM   MM -5.3    MM
2016 02 08 17 00  60 21.0   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2016 02 08 16 00  60 21.0 27.0   6.3    10    MM  MM  999.0    MM   6.2    MM   MM -7.4    MM
2016 02 08 15 00  60 22.0 28.0   5.3     9    MM  MM 1000.5    MM   5.7    MM   MM -5.0    MM
2016 02 08 14 00  60 21.0   MM    MM    MM    MM  MM 1003.7    MM    MM    MM   MM -7.6    MM
2016 02 08 13 00  50 20.0 25.0   4.4     8    MM  MM 1006.4    MM   5.4    MM   MM -6.1    MM
2016 02 08 12 00  40 19.0 30.0   3.6     8    MM  MM 1005.5    MM   5.3    MM   MM -7.9    MM
2016 02 08 11 00  50 16.0 16.0   3.3     8    MM  MM 1011.3    MM   5.3    MM   MM -3.6    MM
2016 02 08 10 00  60 16.0   MM   3.3     7    MM  MM 1012.5    MM   5.4    MM   MM -3.7    MM
2016 02 08 09 00  60 15.0 19.0   2.8     6    MM  MM 1013.4    MM   5.6    MM   MM -4.0    MM
2016 02 08 08 00  50 15.0 19.0   2.4     6    MM  MM 1014.9    MM   5.6    MM   MM -3.5    MM
2016 02 08 07 00  50 14.0 18.0   2.2     5    MM  MM 1016.2    MM   5.6    MM   MM -3.6    MM
2016 02 08 06 00  40 13.0   MM   2.0     5    MM  MM 1017.4    MM   5.6    MM   MM -3.0    MM
2016 02 08 05 00  40 12.0 15.0   1.7     5    MM  MM 1018.4    MM   5.5    MM   MM -2.5    MM
2016 02 08 04 00  40 10.0 13.0   1.4     7    MM  MM 1019.8    MM   5.4    MM   MM -1.0    MM
2016 02 08 03 00  40 10.0 12.0   1.4     7    MM  MM 1020.4    MM   5.4    MM   MM -0.9    MM
2016 02 08 02 00  10  5.0  7.0   1.5     7    MM  MM 1020.9    MM   5.2    MM   MM -0.7    MM
2016 02 08 01 00 350  4.0  4.0   1.6     8    MM  MM 1020.8    MM   5.1    MM   MM -0.4    MM
2016 02 08 00 00 320  3.0  4.0   1.5     8    MM  MM 1021.3    MM   5.0    MM   MM +0.1    MM
2016 02 07 23 00 260  2.0  3.0   1.6     8    MM  MM 1021.6    MM   4.9    MM   MM +0.2    MM
2016 02 07 22 00 240  3.0  4.0   1.5     7    MM  MM 1021.2    MM   4.9    MM   MM -0.5    MM
2016 02 07 21 00 280  4.0  5.0   1.4     8    MM  MM 1021.2    MM   4.7    MM   MM -0.8    MM
2016 02 07 20 00 270  5.0  6.0   1.5    10    MM  MM 1021.4    MM   4.8    MM   MM +0.9    MM
2016 02 07 19 00 250  6.0  7.0   1.5     8    MM  MM 1021.7    MM   5.2    MM   MM -0.8    MM
2016 02 07 18 00 240  6.0  7.0   1.5    10    MM  MM 1022.0    MM   5.3    MM   MM -0.9    MM
2016 02 07 17 00 240  3.0  4.0   1.6     9    MM  MM 1020.5    MM   4.8    MM   MM -2.8    MM
2016 02 07 16 00 240  4.0  5.0   1.5     6    MM  MM 1022.5    MM   4.7    MM   MM -0.3    MM
2016 02 07 15 00 240  5.0  6.0   1.5     9    MM  MM 1022.9    MM   4.9    MM   MM +0.1    MM
2016 02 07 14 00 250  6.0  8.0   1.4    10    MM  MM 1023.3    MM   5.2    MM   MM +0.4    MM
2016 02 07 13 00 260  8.0  9.0   1.4    10    MM  MM 1022.8    MM   5.7    MM   MM -0.3    MM
2016 02 07 12 00 240  6.0  7.0   1.4    10    MM  MM 1022.8    MM   5.9    MM   MM -0.3    MM
2016 02 07 11 00 260  7.0 10.0   1.3    10    MM  MM 1022.9    MM   5.8    MM   MM -0.7    MM
2016 02 07 10 00 220  4.0  6.0   1.3     9    MM  MM 1023.1    MM   5.7    MM   MM -1.3    MM
2016 02 07 09 00 230  3.0  4.0   1.3    10    MM  MM 1023.1    MM   5.8    MM   MM -2.0    MM
2016 02 07 08 00 240  3.0  4.0   1.4    10    MM  MM 1023.6    MM   5.8    MM   MM -2.5    MM
2016 02 07 07 00 230  3.0  4.0   1.6    10    MM  MM 1024.4    MM   5.9    MM   MM -2.5    MM
2016 02 07 06 00 240  3.0  5.0   1.5    10    MM  MM 1025.1    MM   5.9    MM   MM -1.9    MM
2016 02 07 05 00 230  4.0  5.0   1.6    11    MM  MM 1026.1    MM   5.7    MM   MM -0.9    MM
2016 02 07 04 00 250  4.0  7.0   1.6    11    MM  MM 1026.9    MM   5.7    MM   MM +0.1    MM
2016 02 07 03 00 250  4.0  5.0   1.8    11    MM  MM 1027.0    MM   5.6    MM   MM +0.0    MM
2016 02 07 02 00 260  4.0  6.0   1.9    10    MM  MM 1027.0    MM   5.5    MM   MM +0.2    MM
2016 02 07 01 00 280  4.0  6.0   2.1    11    MM  MM 1026.8    MM   5.3    MM   MM +0.5    MM
2016 02 07 00 00 270  5.0  6.0   1.9    11    MM  MM 1027.0    MM   5.3    MM   MM +0.8    MM
2016 02 06 23 00 280  5.0  6.0   2.3    10    MM  MM 1026.8    MM   5.2    MM   MM +0.6    MM
2016 02 06 22 00 300  5.0  8.0   2.4    10    MM  MM 1026.3    MM   5.1    MM   MM +0.1    MM
2016 02 06 21 00 290  6.0  7.0   2.5    11    MM  MM 1026.2    MM   5.5    MM   MM +0.4    MM
2016 02 06 20 00 300  7.0  9.0   2.5    11    MM  MM 1026.2    MM   5.7    MM   MM +0.8    MM
2016 02 06 19 00 300  7.0  9.0   3.0     9    MM  MM 1026.2    MM   6.0    MM   MM +1.1    MM
2016 02 06 18 00 300  8.0 10.0   3.2    10    MM  MM 1025.8    MM   6.2    MM   MM +0.7    MM
2016 02 06 17 00 300  9.0 10.0   3.4    11    MM  MM 1025.4    MM   6.3    MM   MM +1.2    MM
2016 02 06 16 00 320  8.0 10.0   3.5    11    MM  MM 1025.1    MM   6.3    MM   MM +2.5    MM
2016 02 06 15 00 320  8.0 10.0   3.8    12    MM  MM 1025.1    MM   6.3    MM   MM +4.1    MM
2016 02 06 14 00 320  9.0 13.0   4.0     9    MM  MM 1024.2    MM   6.2    MM   MM +4.5    MM
2016 02 06 13 00 320 10.0 14.0   4.2     8    MM  MM 1022.6    MM   6.1    MM   MM +4.6    MM
2016 02 06 12 00 320 11.0 14.0   4.5    12    MM  MM 1021.0    MM   5.8    MM   MM +4.2    MM
2016 02 06 11 00 320 12.0 15.0   4.7     9    MM  MM 1019.7    MM   5.5    MM   MM +4.3    MM
2016 02 06 10 00 310 12.0 15.0   4.8    10    MM  MM 1018.0    MM   5.0    MM   MM +4.6    MM
2016 02 06 09 00 320 13.0 17.0   4.7     8    MM  MM 1016.8    MM   4.5    MM   MM +6.0    MM
2016 02 06 08 00 310 14.0 18.0   4.5     9    MM  MM 1015.4    MM   4.1    MM   MM +8.0    MM
2016 02 06 07 00 310 15.0 17.0   5.1     9    MM  MM 1013.4    MM   4.1    MM   MM +9.3    MM
2016 02 06 06 00 310 16.0 21.0   4.6    10    MM  MM 1010.8    MM   4.5    MM   MM +9.7    MM
2016 02 06 05 00 310 17.0 22.0   4.5    10    MM  MM 1007.4    MM   5.4    MM   MM +8.6    MM
2016 02 06 04 00 300 18.0 22.0   4.2     9    MM  MM 1004.1    MM   5.5    MM   MM +4.9    MM
2016 02 06 03 00 270 16.0 20.0   4.1     9    MM  MM 1001.1    MM   5.2    MM   MM +1.6    MM
2016 02 06 02 00 210  8.0 10.0   4.1     9    MM  MM  998.8    MM   5.9    MM   MM -2.4    MM
2016 02 06 01 00 210 11.0 14.0   4.0     9    MM  MM  999.2    MM   6.0    MM   MM -3.6    MM
2016 02 06 00 00 180 13.0 16.0   3.5    10    MM  MM  999.5    MM   5.5    MM   MM -5.3    MM
