Alabama	9	99	34.6	62.9 
Alaska	3	76	37.7	52.9 
Arizona	11	79	45.4	49.5 
Arkansas	6	99	33.8	60.4 
California	55	69	61.5 	33.2
Colorado	9	92	47.3 	44.4
Connecticut	7	94	54.5 	41.2
Delaware	3	99	53.4 	41.9
District of Columbia	3	81	92.8 	4.1
Florida	29	99	47.8	49.1 
Georgia	16	93	45.6	51.3 
Hawaii	4	95	62.2 	30
Idaho	4	99	27.6	59.2 
Illinois	20	97	55.4 	39.4
Indiana	11	97	37.9	57.2 
Iowa	6	99	42.2	51.8 
Kansas	6	96	36.2	57.2 
Kentucky	8	99	32.7	62.5 
Louisiana	8	99	38.4	58.1 
Maine	4	98	47.9 	45.2
Maryland	10	87	60.5 	35.3
Massachusetts	11	99	60.8 	33.5
Michigan	16	96	47.3	47.6
Minnesota	10	99	46.9 	45.4
Mississippi	6	95	39.7	58.3 
Missouri	10	94	38	57.1 
Montana	3	96	36	56.5 
Nebraska	5	97	34	60.3 
Nevada	6	98	47.9 	45.5
New Hampshire	4	98	47.6	47.3
New Jersey	14	93	55 	41.8
New Mexico	5	95	48.3 	40
New York	29	95	58.8 	37.5
North Carolina	15	98	46.7	50.5 
North Dakota	3	99	27.8	64.1 
Ohio	18	94	43.5	52.1 
Oklahoma	7	99	28.9	65.3 
Oregon	7	86	51.9 	40.9
Pennsylvania	20	99	47.6	48.8 
Rhode Island	4	96	55.4 	39.8
South Carolina	9	95	40.8	54.9 
South Dakota	3	99	31.7	61.5 
Tennessee	11	99	34.9	61.1 
Texas	38	99	43.4	52.6 
Utah	6	85	27.8	46.6 
Vermont	3	93	61.1 	32.6
Virginia	13	96	49.9 	45
Washington	12	60	54.9 	38.3
West Virginia	5	96	26.5	68.7 
Wisconsin	10	95	46.9	47.9 
Wyoming	3	99	22.5	70.1 

